show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,imdb_score
s1,Movie,Dark Night 4,,"Charlotte Miller, Ryan Davis",Canada,"June 14, 2017",1991,NR,199 min,Animation,A thrilling adventure story,5.3
s2,TV Show,Horror Tales 22,Robert Taylor,"Olivia Brown, Ryan Davis, Ethan Rodriguez, Amelia Moore",Colombia,"January 19, 2024",2019,TV-Y7,2 Seasons,"Mystery, Sci-Fi & Fantasy",A thrilling adventure story,8.1
s3,TV Show,Mystery Show 15,Daniel Clark,"Sophie Taylor, Ava Clark, Benjamin Turner, Matt Anderson","Japan, Brazil","December 27, 2020",2000,NC-17,9 Seasons,Comedy,A thrilling adventure story,6.4
s4,Movie,Love Story 28,Mark Thompson,"Matt Anderson, Isabella Adams, Ethan Rodriguez, Oliver Green",Israel,"December 12, 2017",2017,TV-Y7,152 min,"Western, Sports, Drama",A heartwarming family tale,5.3
s5,Movie,Animation World 77,,"William Thompson, Luke Garcia, Charlotte Miller, Tom Johnson, Olivia Brown",,"August 15, 2023",1997,PG-13,176 min,,A musical journey,6.9
s6,Movie,Adventure Quest 65,Jennifer Lopez,"Jake Wilson, Ava Clark, Sophie Taylor","Egypt, United States","September 19, 2021",1991,TV-Y,138 min,Drama,An animated adventure,9.1
s7,Movie,War Stories 99,Jessica Turner,"Luke Garcia, William Thompson, Mia Young","Italy, Indonesia","June 23, 2019",2013,TV-PG,175 min,Crime,,7.3
s8,TV Show,The Series 5,Sarah Johnson,"Noah White, Ryan Davis",Singapore,"May 27, 2017",2020,TV-G,7 Seasons,Biography,A documentary about life,7.9
s9,Movie,Dark Night 8,Christopher Lee,"Grace Martinez, Matt Anderson",Russia,"January 21, 2017",2005,PG,173 min,"Horror, Comedy, Action & Adventure",An action-packed thriller,6.8
s10,TV Show,Drama Series 26,Lisa Anderson,"Luke Garcia, Oliver Green, Chloe Lopez, Mia Young, Isabella Adams",South Korea,"June 30, 2021",1993,G,1 Season,"Western, Romance",A crime investigation story,
s11,Movie,Adventure Quest 9,Maria Garcia,"Benjamin Turner, Emma Smith, Ryan Davis",Egypt,"July 19, 2018",2003,TV-Y,121 min,Family,A heartwarming family tale,
s12,TV Show,Family Show 37,Michael Brown,"Jake Wilson, Ava Clark, Ryan Davis, Grace Martinez",Israel,"November 21, 2022",2023,,9 Seasons,"Thriller, Animation",A heartwarming family tale,5.2
s13,TV Show,Action Pack 39,Christopher Lee,"William Thompson, Isabella Adams, Luke Garcia, Emma Smith",Nigeria,"June 30, 2015",,TV-MA,5 Seasons,Biography,A heartwarming family tale,
s14,Movie,Comedy Central 70,,"Mia Young, Jake Wilson, Emma Smith","India, Norway","May 10, 2017",1996,TV-PG,164 min,"Documentary, Romance",A mysterious drama series,4.6
s15,Movie,Thriller Night 53,Maria Garcia,"Ethan Rodriguez, Emma Smith",Taiwan,"December 03, 2018",2004,TV-MA,109 min,Drama,A romantic comedy,6.9
s16,Movie,War Stories 43,Emily Davis,"Sophie Taylor, Benjamin Turner, Luke Garcia, Emma Smith",Netherlands,"November 23, 2019",2022,TV-14,108 min,"Action & Adventure, Western",A crime investigation story,8.9
s17,Movie,Horror House 47,Christopher Lee,"Chloe Lopez, William Thompson",Switzerland,"October 26, 2022",1998,TV-MA,157 min,"Family, War & Military, Action & Adventure",An action-packed thriller,7.2
s18,Movie,Thriller Night 60,Robert Taylor,"Ryan Davis, Chloe Lopez, William Thompson",Canada,"March 06, 2024",2005,R,110 min,Sports,A heartwarming family tale,8.7
s19,Movie,Biography Life 25,Daniel Clark,"Jake Wilson, Tom Johnson, Olivia Brown",Egypt,"March 17, 2020",2005,PG,176 min,Western,A sci-fi epic,8.0
s20,Movie,Musical Dreams 79,Anthony Green,"Sophie Taylor, Isabella Adams, Oliver Green, Luke Garcia, Grace Martinez",Egypt,"June 07, 2020",2007,NR,133 min,Historical,A mysterious drama series,7.8
s21,Movie,Horror House 9,Christopher Lee,"Emma Smith, Matt Anderson, Mia Young, Ethan Rodriguez, Tom Johnson","Belgium, Hong Kong","January 25, 2015",2009,TV-Y7,197 min,"Documentary, Sports",A documentary about life,6.3
s22,Movie,Documentary Life 93,Kevin Young,"Ethan Rodriguez, Benjamin Turner",Russia,"July 09, 2016",2001,,157 min,Crime,A documentary about life,9.0
s23,Movie,Animation World 33,Jessica Turner,,"Norway, Thailand, Japan","October 05, 2023",1992,R,111 min,"Documentary, Thriller",A heartwarming family tale,5.5
s24,Movie,Sci-Fi Future 99,Laura Miller,"Sophie Taylor, Chloe Lopez",Indonesia,"June 16, 2021",2014,NR,110 min,"Documentary, Horror",A romantic comedy,7.3
s25,Movie,Dark Night 73,Amanda White,"Ryan Davis, William Thompson, Noah White, Tom Johnson","France, Russia","January 23, 2019",2019,TV-Y7,105 min,"Animation, Sports, Musical",A musical journey,6.0
s26,TV Show,Drama Series 6,Kevin Young,"Benjamin Turner, Ethan Rodriguez, Noah White, Tom Johnson, Isabella Adams",Turkey,"December 24, 2018",2011,TV-14,5 Seasons,"Sci-Fi & Fantasy, Drama",A documentary about life,8.1
s27,Movie,Crime Scene 83,Kevin Young,"Chloe Lopez, Grace Martinez",Denmark,"April 22, 2020",2012,NR,200 min,"Animation, Family",A heartwarming family tale,6.0
s28,Movie,War Stories 98,Robert Taylor,"Luke Garcia, Benjamin Turner, William Thompson, Chloe Lopez, Olivia Brown",Denmark,"January 04, 2017",2024,G,73 min,"Thriller, Sports",A thrilling adventure story,6.7
s29,Movie,Musical Dreams 44,Sarah Johnson,"Olivia Brown, Ryan Davis, Ethan Rodriguez, Isabella Adams, Benjamin Turner",Australia,"September 03, 2016",2009,R,90 min,Documentary,A documentary about life,6.6
